# exporter_version=5.2.0
# source_registry=https://registry.npmjs.org
# source_tag=latest
# supplemental_query_source=github:TanStack/query@b2a99c82d38601f89c963cbde1c811c1a615950c#packages/query-intent
# supplemental_query_pr=TanStack/query#10879
# supplemental_query_pr_state=closed
# supplemental_query_branch=taren/query-intent-skills
package	version	license	published_skill_files	exported_skills	output_skills
@tanstack/ai	0.49.1	MIT	12	12	tanstack-ai-core,tanstack-ai-core-adapter-configuration,tanstack-ai-core-ag-ui-protocol,tanstack-ai-core-chat-experience,tanstack-ai-core-client-persistence,tanstack-ai-core-custom-backend-integration,tanstack-ai-core-debug-logging,tanstack-ai-core-locks,tanstack-ai-core-media-generation,tanstack-ai-core-middleware,tanstack-ai-core-structured-outputs,tanstack-ai-core-tool-calling
@tanstack/ai-code-mode	0.4.4	MIT	1	1	tanstack-ai-code-mode
@tanstack/ai-mcp	0.3.5	MIT	1	1	tanstack-ai-mcp
@tanstack/ai-memory	0.1.6	MIT	6	6	tanstack-ai-memory,tanstack-ai-memory-hindsight,tanstack-ai-memory-honcho,tanstack-ai-memory-in-memory,tanstack-ai-memory-mem0,tanstack-ai-memory-redis
@tanstack/ai-persistence	0.5.1	MIT	8	8	tanstack-ai-persistence,tanstack-ai-persistence-build-cloudflare-adapter,tanstack-ai-persistence-build-cloudflare-artifact-store,tanstack-ai-persistence-build-custom-adapter,tanstack-ai-persistence-build-drizzle-adapter,tanstack-ai-persistence-build-prisma-adapter,tanstack-ai-persistence-server,tanstack-ai-persistence-stores
@tanstack/ai-sandbox	0.5.1	MIT	1	1	tanstack-ai-sandbox
@tanstack/alpine-table	9.1.2	MIT	3	3	tanstack-alpine-table-create-table-hook,tanstack-alpine-table-getting-started,tanstack-alpine-table-table-state
@tanstack/angular-db	0.1.85	MIT	1	1	tanstack-angular-db
@tanstack/angular-table	9.2.2	MIT	6	6	tanstack-angular-table-create-table-hook,tanstack-angular-table-getting-started,tanstack-angular-table-migrate-v8-to-v9,tanstack-angular-table-table-state,tanstack-angular-table-with-tanstack-query,tanstack-angular-table-with-tanstack-virtual
@tanstack/angular-table-devtools	9.2.0	MIT	1	1	tanstack-angular-table-devtools
@tanstack/charts	0.14.0	MIT	12	12	tanstack-charts-build-chart-interactions,tanstack-charts-compose-marks-and-views,tanstack-charts-configure-scales-guides-color,tanstack-charts-coordinate-charts-with-tanstack,tanstack-charts-debug-and-verify-charts,tanstack-charts-design-a-chart,tanstack-charts-design-responsive-charts,tanstack-charts-extend-tanstack-charts,tanstack-charts-migrate-to-tanstack-charts,tanstack-charts-prepare-chart-data,tanstack-charts-ship-accessible-charts,tanstack-charts-update-and-animate-charts
@tanstack/cli	0.70.2	MIT	5	5	tanstack-cli-add-addons-existing-app,tanstack-cli-choose-ecosystem-integrations,tanstack-cli-create-app-scaffold,tanstack-cli-maintain-custom-addons-dev-watch,tanstack-cli-query-docs-library-metadata
@tanstack/db	0.8.4	MIT	7	7	tanstack-db-core,tanstack-db-core-collection-setup,tanstack-db-core-custom-adapter,tanstack-db-core-live-queries,tanstack-db-core-mutations-optimistic,tanstack-db-core-persistence,tanstack-db-meta-framework
@tanstack/db-playbook	0.0.1	MIT	6	6	tanstack-db-playbook-tanstack-db,tanstack-db-playbook-tanstack-db-collections,tanstack-db-playbook-tanstack-db-electric,tanstack-db-playbook-tanstack-db-live-queries,tanstack-db-playbook-tanstack-db-mutations,tanstack-db-playbook-tanstack-db-schemas
@tanstack/db-skills	0.0.1	MIT	6	6	tanstack-db-skills-tanstack-db,tanstack-db-skills-tanstack-db-collections,tanstack-db-skills-tanstack-db-electric,tanstack-db-skills-tanstack-db-live-queries,tanstack-db-skills-tanstack-db-mutations,tanstack-db-skills-tanstack-db-schemas
@tanstack/devtools	0.14.2	MIT	4	4	tanstack-devtools-app-setup,tanstack-devtools-marketplace,tanstack-devtools-plugin-panel,tanstack-devtools-production
@tanstack/devtools-event-client	0.5.0	MIT	3	3	tanstack-devtools-event-client-devtools-bidirectional,tanstack-devtools-event-client,tanstack-devtools-event-client-devtools-instrumentation
@tanstack/devtools-utils	0.7.0	MIT	1	1	tanstack-devtools-utils-devtools-framework-adapters
@tanstack/devtools-vite	0.8.5	MIT	1	1	tanstack-devtools-vite-plugin
@tanstack/ember-table	9.1.2	MIT	3	3	tanstack-ember-table-create-table-hook,tanstack-ember-table-getting-started,tanstack-ember-table-table-state
@tanstack/highlight	0.0.10	MIT	5	5	tanstack-highlight-configure-selective-highlighting,tanstack-highlight-extend-language-support,tanstack-highlight-integrate-framework-code-blocks,tanstack-highlight-integrate-markdown-pipelines,tanstack-highlight-theme-and-annotate-code
@tanstack/lit-table	9.1.2	MIT	5	5	tanstack-lit-table-create-table-hook,tanstack-lit-table-getting-started,tanstack-lit-table-migrate-v8-to-v9,tanstack-lit-table-table-state,tanstack-lit-table-with-tanstack-virtual
@tanstack/markdown	0.0.13	MIT	6	6	tanstack-markdown-custom-extensions,tanstack-markdown-docs-features,tanstack-markdown-octane-rendering,tanstack-markdown-production-pipelines,tanstack-markdown-react-rendering,tanstack-markdown-render-markdown
@tanstack/match-sorter-utils	9.1.2	MIT	1	1	tanstack-match-sorter-utils-fuzzy-ranking
@tanstack/octane-table	9.1.2	MIT	3	3	tanstack-octane-table-create-table-hook,tanstack-octane-table-getting-started,tanstack-octane-table-table-state
@tanstack/offline-transactions	1.0.50	MIT	1	1	tanstack-offline-transactions-offline
@tanstack/preact-table	9.1.2	MIT	6	6	tanstack-preact-table-create-table-hook,tanstack-preact-table-getting-started,tanstack-preact-table-migrate-v8-to-v9,tanstack-preact-table-table-state,tanstack-preact-table-with-tanstack-query,tanstack-preact-table-with-tanstack-virtual
@tanstack/preact-table-devtools	9.2.0	MIT	1	1	tanstack-preact-table-devtools
@tanstack/react-db	0.3.4	MIT	1	1	tanstack-react-db
@tanstack/react-start	1.168.49	MIT	3	3	tanstack-react-start-lifecycle-migrate-from-nextjs,tanstack-react-start,tanstack-react-start-server-components
@tanstack/react-table	9.1.2	MIT	6	6	tanstack-react-table-create-table-hook,tanstack-react-table-getting-started,tanstack-react-table-migrate-v8-to-v9,tanstack-react-table-table-state,tanstack-react-table-with-tanstack-query,tanstack-react-table-with-tanstack-virtual
@tanstack/react-table-devtools	9.2.0	MIT	1	1	tanstack-react-table-devtools
@tanstack/router-core	1.171.27	MIT	10	10	tanstack-router-core,tanstack-router-core-auth-and-guards,tanstack-router-core-code-splitting,tanstack-router-core-data-loading,tanstack-router-core-navigation,tanstack-router-core-not-found-and-errors,tanstack-router-core-path-params,tanstack-router-core-search-params,tanstack-router-core-ssr,tanstack-router-core-type-safety
@tanstack/router-plugin	1.168.35	MIT	1	1	tanstack-router-plugin
@tanstack/solid-db	0.2.39	MIT	1	1	tanstack-solid-db
@tanstack/solid-router	1.170.30	MIT	1	1	tanstack-solid-router
@tanstack/solid-start	1.168.47	MIT	1	1	tanstack-solid-start
@tanstack/solid-table	9.1.2	MIT	6	6	tanstack-solid-table-create-table-hook,tanstack-solid-table-getting-started,tanstack-solid-table-migrate-v8-to-v9,tanstack-solid-table-table-state,tanstack-solid-table-with-tanstack-query,tanstack-solid-table-with-tanstack-virtual
@tanstack/solid-table-devtools	9.2.0	MIT	1	1	tanstack-solid-table-devtools
@tanstack/start-client-core	1.170.27	MIT	7	7	tanstack-start-client-core-start-core,tanstack-start-client-core-start-core-auth-server-primitives,tanstack-start-client-core-start-core-deployment,tanstack-start-client-core-start-core-execution-model,tanstack-start-client-core-start-core-middleware,tanstack-start-client-core-start-core-server-functions,tanstack-start-client-core-start-core-server-routes
@tanstack/start-server-core	1.169.31	MIT	1	1	tanstack-start-server-core
@tanstack/svelte-db	0.3.4	MIT	1	1	tanstack-svelte-db
@tanstack/svelte-table	9.1.2	MIT	6	6	tanstack-svelte-table-create-table-hook,tanstack-svelte-table-getting-started,tanstack-svelte-table-migrate-v8-to-v9,tanstack-svelte-table-table-state,tanstack-svelte-table-with-tanstack-query,tanstack-svelte-table-with-tanstack-virtual
@tanstack/table-core	9.1.2	MIT	24	24	tanstack-table-core-aggregation,tanstack-table-core-api-not-found,tanstack-table-core-cell-selection,tanstack-table-core-cell-spanning,tanstack-table-core-client-vs-server,tanstack-table-core-column-faceting,tanstack-table-core-column-filtering,tanstack-table-core-column-ordering,tanstack-table-core-column-pinning,tanstack-table-core-column-resizing,tanstack-table-core-column-sizing,tanstack-table-core-column-visibility,tanstack-table-core,tanstack-table-core-custom-features,tanstack-table-core-expanding,tanstack-table-core-global-filtering,tanstack-table-core-grouping,tanstack-table-core-migrate-v8-to-v9,tanstack-table-core-pagination,tanstack-table-core-row-pinning,tanstack-table-core-row-selection,tanstack-table-core-sorting,tanstack-table-core-table-features,tanstack-table-core-typescript
@tanstack/table-devtools	9.2.0	MIT	1	1	tanstack-table-devtools
@tanstack/virtual-file-routes	1.162.0	MIT	1	1	tanstack-virtual-file-routes
@tanstack/vue-db	0.1.6	MIT	1	1	tanstack-vue-db
@tanstack/vue-router	1.170.29	MIT	1	1	tanstack-vue-router
@tanstack/vue-start	1.168.46	MIT	1	1	tanstack-vue-start
@tanstack/vue-table	9.1.2	MIT	6	6	tanstack-vue-table-create-table-hook,tanstack-vue-table-getting-started,tanstack-vue-table-migrate-v8-to-v9,tanstack-vue-table-table-state,tanstack-vue-table-with-tanstack-query,tanstack-vue-table-with-tanstack-virtual
@tanstack/vue-table-devtools	9.2.0	MIT	1	1	tanstack-vue-table-devtools
@tanstack/query-intent	5.101.0	MIT	29	29	tanstack-query-intent-compositions-automatic-invalidati-a8e9b778,tanstack-query-intent-compositions-broadcast-realtime-a-6360b276,tanstack-query-intent-compositions-compose-query-with-t-d0bcdebe,tanstack-query-intent-compositions-enforce-query-best-p-48bbbabb,tanstack-query-intent-compositions-persist-offline-and-ca66cce0,tanstack-query-intent-compositions-query-data-and-forms,tanstack-query-intent-core-build-query-abstractions,tanstack-query-intent-core-cancel-queries-and-consume-a-19e3bf0b,tanstack-query-intent-core-concurrent-optimistic-updates,tanstack-query-intent-core-coordinate-query-execution,tanstack-query-intent-core-design-query-keys-and-options,tanstack-query-intent-core-fetch-and-observe-queries,tanstack-query-intent-core-implement-optimistic-updates-20e8c58a,tanstack-query-intent-core-paginate-and-build-infinite-queries,tanstack-query-intent-core-seed-placeholder-select-and-5c98438e,tanstack-query-intent-core-selectors-and-derived-state,tanstack-query-intent-core-tune-defaults-freshness-retr-58e4e7c9,tanstack-query-intent-core-understand-query-internals-a-8ab976f4,tanstack-query-intent-core-write-mutations-and-invalida-1820d5b8,tanstack-query-intent-framework-debug-with-devtools,tanstack-query-intent-framework-handle-status-and-errors,tanstack-query-intent-framework-shape-data-and-render-e-feb144a6,tanstack-query-intent-framework-use-framework-adapter-reactivity,tanstack-query-intent-framework-use-suspense-and-error-0e96f8ec,tanstack-query-intent-lifecycle-migrate-major-versions-33ec74ce,tanstack-query-intent-lifecycle-prefetch-and-remove-req-289202f1,tanstack-query-intent-lifecycle-setup-query-client-and-providers,tanstack-query-intent-lifecycle-ssr-hydration-and-streaming,tanstack-query-intent-lifecycle-test-query-code
